iter	Passed	Remaining
157	108	578
158	108	575
159	109	572
160	109	568
161	109	566
162	109	563
163	110	561
164	110	559
165	111	558
166	111	555
167	111	553
168	112	550
169	112	548
170	112	545
171	112	543
172	113	541
173	113	539
174	114	537
175	114	535
176	114	532
177	114	530
178	115	528
179	115	526
180	115	524
181	116	522
182	116	519
183	116	517
184	116	515
185	117	512
186	117	510
187	117	508
188	118	506
189	118	504
190	118	502
191	118	500
192	119	498
193	119	496
194	119	494
195	120	492
196	120	490
197	120	488
198	121	487
199	121	485
200	121	484
201	122	482
202	122	480
203	122	479
204	123	477
205	123	475
206	123	474
207	124	472
208	124	471
209	124	469
210	125	467
211	125	465
212	125	464
213	125	462
214	126	460
215	126	460
216	127	458
217	127	457
218	127	455
219	128	454
220	128	452
221	128	451
222	129	449
223	129	448
224	129	446
225	129	444
226	130	443
227	130	441
228	130	440
229	131	438
230	131	437
231	131	436
232	132	434
233	132	433
234	132	431
235	132	430
236	133	428
237	133	427
238	133	426
239	134	424
240	134	423
241	134	422
242	135	420
243	135	419
244	135	418
245	135	416
246	136	415
247	136	414
248	137	413
249	137	412
250	137	411
251	138	410
252	138	410
253	139	409
254	139	407
255	140	408
256	141	408
257	141	406
258	141	405
259	142	404
260	142	402
261	142	401
262	142	400
263	143	399
264	143	398
265	143	396
266	144	395
267	144	394
268	144	392
269	144	391
270	145	390
271	145	389
272	145	388
273	146	387
274	146	386
275	146	384
276	147	384
277	147	383
278	148	382
279	148	381
280	148	381
281	149	380
282	149	379
283	150	378
284	150	377
285	150	375
286	150	374
287	151	373
288	151	372
289	152	372
290	152	371
291	152	370
292	152	368
293	153	367
294	153	366
295	153	365
296	154	364
297	154	363
298	154	362
299	154	361
300	155	360
301	155	359
302	156	359
303	156	358
304	156	357
305	157	356
306	157	355
307	157	354
308	158	353
309	158	352
310	158	351
311	159	350
312	159	350
313	159	349
314	160	348
315	160	347
316	160	346
317	161	345
318	161	344
319	161	344
320	162	343
321	162	342
322	162	341
323	163	340
324	163	339
325	163	338
326	163	337
327	164	336
328	164	335
329	164	334
330	165	333
331	165	332
332	165	331
333	166	331
334	166	330
335	166	329
336	166	328
337	167	327
338	167	326
339	167	326
340	168	325
341	168	324
342	168	323
343	169	323
344	169	322
345	170	321
346	170	321
347	170	320
348	171	319
349	171	318
350	171	317
351	172	316
352	172	315
353	172	315
354	172	314
355	173	313
356	173	312
357	173	311
358	174	310
359	174	309
360	174	309
361	175	308
362	175	307
363	175	307
364	176	306
365	176	305
366	176	304
367	177	304
368	177	303
369	177	302
370	177	301
371	178	301
372	178	300
373	179	299
374	179	299
375	179	298
376	180	297
377	180	296
378	180	296
379	181	295
380	181	294
381	181	294
382	182	293
383	182	292
384	182	292
385	183	291
386	183	290
387	184	290
388	184	289
389	184	289
390	185	288
391	185	287
392	185	286
393	186	286
394	186	285
395	186	284
396	187	284
397	187	284
398	188	283
399	188	282
400	189	282
401	189	281
402	189	281
403	190	280
404	190	280
405	190	279
406	191	278
407	191	278
408	192	277
409	192	276
410	192	276
411	193	275
412	193	275
413	193	274
414	194	273
415	194	273
416	194	272
417	195	272
418	195	271
419	196	271
420	196	270
421	196	269
422	197	269
423	197	268
424	197	267
425	198	267
426	198	266
427	198	265
428	199	265
429	199	264
430	199	264
431	200	263
432	200	262
433	201	262
434	201	261
435	201	261
436	202	260
437	202	259
438	202	259
439	203	258
440	203	258
441	204	257
442	204	256
443	204	256
444	205	255
445	205	255
446	205	254
447	206	254
448	206	253
449	206	252
450	207	252
451	207	251
452	207	251
453	208	250
454	208	249
455	208	249
456	209	248
457	209	248
458	210	247
459	210	246
460	210	246
461	211	245
462	211	245
463	211	244
464	212	244
465	212	243
466	213	243
467	213	242
468	213	242
469	214	241
470	214	241
471	214	240
472	215	240
473	215	239
474	215	238
475	216	238
476	216	237
477	217	237
478	217	236
479	217	235
480	218	235
481	218	234
482	218	234
483	219	233
484	219	233
485	219	232
486	220	232
487	220	231
488	221	231
489	221	230
490	221	229
491	222	229
492	222	228
493	222	228
494	223	227
495	223	227
496	223	226
497	224	226
498	224	225
499	225	225
500	225	224
501	225	223
502	225	223
503	226	222
504	226	222
505	227	221
506	227	221
507	227	220
508	228	220
509	228	219
510	228	219
511	229	218
512	229	217
513	229	217
514	230	216
515	230	216
516	231	215
517	231	215
518	231	214
519	232	214
520	232	213
521	232	213
522	233	212
523	233	212
524	234	211
525	234	211
526	234	210
527	235	210
528	235	209
529	235	209
530	236	208
531	236	208
532	236	207
533	237	207
534	237	206
535	237	205
536	238	205
537	238	204
538	239	204
539	239	203
540	239	203
541	239	202
542	240	202
543	240	201
544	241	201
545	241	200
546	241	200
547	242	199
548	242	199
549	242	198
550	243	198
551	243	197
552	243	197
553	244	196
554	244	196
555	244	195
556	245	195
557	245	194
558	246	194
559	246	193
560	246	193
561	247	192
562	247	192
563	248	192
564	248	191
565	249	191
566	249	190
567	250	190
568	250	189
569	250	189
570	251	188
571	251	188
572	252	187
573	252	187
574	252	186
575	253	186
576	253	185
577	254	185
578	254	184
579	254	184
580	255	183
581	255	183
582	255	183
583	256	182
584	256	181
585	256	181
586	257	180
587	257	180
588	257	179
589	258	179
590	258	179
591	259	178
592	259	178
593	260	177
594	260	177
595	260	176
596	261	176
597	261	175
598	262	175
599	262	175
600	262	174
601	263	174
602	263	173
603	264	173
604	264	172
605	264	172
606	266	172
607	266	171
608	266	171
609	267	170
610	267	170
611	267	169
612	268	169
613	268	168
614	268	168
615	269	167
616	269	167
617	269	166
618	270	166
619	270	165
620	271	165
621	271	164
622	271	164
623	272	164
624	272	163
625	272	163
626	273	162
627	273	162
628	274	161
629	274	161
630	275	160
631	275	160
632	275	159
633	276	159
634	276	159
635	277	158
636	277	158
637	277	157
638	278	157
639	278	156
640	278	156
641	279	155
642	279	155
643	280	154
644	280	154
645	281	154
646	281	153
647	281	153
648	282	152
649	282	152
650	282	151
651	283	151
652	283	150
653	284	150
654	285	150
655	285	149
656	285	149
657	286	148
658	286	148
659	286	147
660	287	147
661	287	146
662	287	146
663	288	145
664	288	145
665	288	144
666	289	144
667	289	143
668	289	143
669	290	142
670	290	142
671	291	142
672	291	141
673	291	141
674	292	140
675	292	140
676	292	139
677	293	139
678	293	138
679	293	138
680	294	137
681	294	137
682	295	136
683	295	136
684	295	135
685	296	135
686	296	135
687	296	134
688	297	134
689	297	133
690	297	133
691	298	132
692	298	132
693	298	131
694	299	131
695	299	130
696	299	130
697	300	129
698	300	129
699	301	129
700	301	128
701	301	128
702	302	127
703	302	127
704	302	126
705	303	126
706	303	125
707	303	125
708	304	124
709	304	124
710	304	123
711	305	123
712	305	122
713	305	122
714	306	122
715	306	121
716	306	121
717	307	120
718	307	120
719	307	119
720	308	119
721	308	118
722	308	118
723	309	117
724	309	117
725	310	117
726	310	116
727	310	116
728	311	115
729	311	115
730	311	114
731	312	114
732	312	113
733	312	113
734	313	112
735	313	112
736	313	112
737	314	111
738	314	111
739	315	110
740	315	110
741	315	109
742	316	109
743	316	108
744	317	108
745	317	108
746	317	107
747	318	107
748	318	106
749	318	106
750	319	105
751	319	105
752	320	105
753	321	104
754	321	104
755	321	103
756	322	103
757	322	102
758	322	102
759	323	102
760	323	101
761	323	101
762	324	100
763	324	100
764	325	99
765	325	99
766	325	98
767	326	98
768	326	98
769	326	97
770	327	97
771	327	96
772	327	96
773	328	95
774	328	95
775	329	94
776	329	94
777	329	94
778	330	93
779	330	93
780	330	92
781	331	92
782	331	91
783	331	91
784	332	90
785	332	90
786	332	90
787	333	89
788	333	89
789	333	88
790	334	88
791	334	87
792	334	87
793	335	86
794	335	86
795	336	86
796	336	85
797	336	85
798	337	84
799	337	84
800	338	83
801	338	83
802	338	83
803	339	82
804	339	82
805	339	81
806	340	81
807	340	80
808	340	80
809	340	79
810	341	79
811	341	79
812	342	78
813	342	78
814	342	77
815	343	77
816	343	76
817	343	76
818	344	76
819	344	75
820	344	75
821	345	74
822	346	74
823	346	74
824	347	73
825	347	73
826	347	72
827	348	72
828	348	71
829	348	71
830	349	71
831	349	70
832	349	70
833	350	69
834	350	69
835	351	68
836	351	68
837	351	68
838	352	67
839	352	67
840	352	66
841	353	66
842	353	65
843	353	65
844	354	64
845	354	64
846	354	64
847	355	63
848	355	63
849	355	62
850	356	62
851	356	61
852	356	61
853	357	61
854	358	60
855	358	60
856	358	59
857	359	59
858	359	59
859	359	58
860	360	58
861	360	57
862	360	57
863	361	56
864	361	56
865	362	56
866	362	55
867	362	55
868	363	54
869	363	54
870	363	53
871	364	53
872	364	53
873	364	52
874	365	52
875	365	51
876	365	51
877	366	50
878	366	50
879	366	50
880	367	49
881	367	49
882	368	48
883	368	48
884	368	47
885	369	47
886	369	47
887	369	46
888	370	46
889	370	45
890	371	45
891	371	44
892	371	44
893	371	44
894	372	43
895	372	43
896	373	42
897	373	42
898	373	42
899	374	41
900	375	41
901	375	40
902	376	40
903	376	39
904	376	39
905	376	39
906	377	38
907	377	38
908	377	37
909	378	37
910	378	37
911	379	36
912	379	36
913	380	35
914	380	35
915	380	34
916	381	34
917	381	34
918	382	33
919	382	33
920	382	32
921	383	32
922	383	32
923	384	31
924	384	31
925	384	30
926	385	30
927	385	29
928	386	29
929	386	29
930	386	28
931	387	28
932	387	27
933	387	27
934	388	26
935	388	26
936	389	26
937	389	25
938	389	25
939	390	24
940	390	24
941	390	24
942	391	23
943	391	23
944	391	22
945	392	22
946	392	21
947	393	21
948	393	21
949	393	20
950	394	20
951	394	19
952	394	19
953	395	19
954	395	18
955	395	18
956	396	17
957	396	17
958	396	16
959	397	16
960	397	16
961	397	15
962	398	15
963	398	14
964	398	14
965	399	14
966	399	13
967	399	13
968	400	12
969	400	12
970	400	11
971	401	11
972	401	11
973	402	10
974	402	10
975	402	9
976	403	9
977	403	9
978	403	8
979	404	8
980	404	7
981	404	7
982	405	7
983	405	6
984	405	6
985	406	5
986	406	5
987	406	4
988	406	4
989	407	4
990	407	3
991	408	3
992	408	2
993	408	2
994	409	2
995	409	1
996	410	1
997	410	0
998	410	0
999	411	0
